harmonic_n,frequency_cpd,period_d,raw_power,masked_power,raw_semi_amplitude_ppt,masked_semi_amplitude_ppt
1,0.053948248861073154,18.536282847200237,0.018005301138583767,0.07059821567996999,1.264271825145197,0.32678107275957197
2,0.10789649772214631,9.268141423600119,0.027722269952413926,0.02920472332841606,1.4850169860928881,0.22994737721502947
3,0.16184474658321946,6.178760949066746,0.03154373801694716,0.0020400558309686895,1.5463519715926095,0.054862773833423965
4,0.21579299544429262,4.634070711800059,0.04580066451763211,0.005539073497873862,1.9029857896909619,0.09987627553534667
5,0.2697412443053658,3.7072565694400472,0.04499157344580674,0.018412234656675602,1.8814250736341604,0.1741120500711289
6,0.3236894931664389,3.089380474533373,0.03467065919439448,0.007406714949627037,1.6491101126976908,0.10434884633561653
7,0.3776377420275121,2.648040406742891,0.03706847357344826,0.004507637154091189,1.7130115528150052,0.08163228711459686
8,0.43158599088858524,2.3170353559000296,0.04471540742893599,0.010476923220249871,1.8769068818986852,0.1256411115232631
9,0.48553423974965837,2.0595869830222484,0.040964346418918614,0.000739547419623353,1.797119927175971,0.03364315488999
10,0.5394824886107316,1.8536282847200236,0.03620853115344122,1.2842748451249668e-05,1.687357922465212,0.004455278699919822
11,0.5934307374718047,1.6851166224727485,0.03568268307392527,0.0006205123840251043,1.673062934358425,0.030973683236936365
12,0.6473789863328778,1.5446902372666864,0.03866070474451788,0.0011748910388472613,1.7482400040706065,0.042579866249882366
13,0.701327235193951,1.425867911323095,0.042932457613067854,0.0026379583834503623,1.842583134453037,0.0640254205955233
14,0.7552754840550242,1.3240202033714454,0.037230729069274215,0.00025717813007614375,1.713038336292315,0.01983418656048857
15,0.8092237329160973,1.2357521898133492,0.034344451409870067,0.00011654506170174891,1.6463118426175134,0.013282613965461832
16,0.8631719817771705,1.1585176779500148,0.04020115958067855,0.006214737574365906,1.7730894751488167,0.09674822420832661
17,0.9171202306382437,1.0903695792470727,0.04015567580361596,8.363768614003788e-05,1.780656875387442,0.011264649481077397
18,0.9710684794993167,1.0297934915111242,0.03556206525300733,0.0003565770724083744,1.665217061143252,0.023224030289985566
19,1.02501672836039,0.9755938340631704,0.03295676295054641,0.00066847486565633,1.6116139586605491,0.0315525004726641
20,1.0789649772214631,0.9268141423600118,0.03424467896859795,0.00015386853027797592,1.6450578914484986,0.015222059366486834
21,1.1329132260825363,0.8826801355809636,0.0366520324534876,0.0006177879614907608,1.697123981623767,0.030882293245499823
22,1.1868614749436095,0.8425583112363743,0.034047388788451524,0.0005365232554862938,1.6366785532252628,0.028726665798087313
