sector,samples,samples_after_mask,masked_fraction,sector_baseline_d
1,18277,16157,0.11599277780817419,27.880619638397775
27,16780,14385,0.14272943980929675,24.362562491466633
35,13540,11149,0.17658788774002954,23.959658117201343
61,15555,13046,0.16129861780777888,23.93185812879392
87,14634,12387,0.15354653546535468,24.133235496557518
